date,type,primary,pri-ammount,fee,fee-coin,secondary,sec-ammount,sec-coin-price,price-in-usd,ammount-in-usd
10-06-2021,buy,USDT,71.698,0.0022,DOT,DOT,2.1978,32.59,32.59,71.698
10-06-2021,buy,USDT,52.4654,0.00034,SOL,SOL,0.33966,154.31,154.31,52.4654
10-13-2021,buy,USDT,37.596,0.0006198,BNB,HNT,1.95,19.28,19.28,37.596
11-07-2021,buy,USDT,30.9254,3.477e-05,BNB,FTM,11.0,2.8114,2.8114,30.9254
11-08-2021,buy,USDT,88.32,0.17,USDT,ADA,43.0,2.0331,2.0331,88.32
11-08-2021,buy,USDT,26.0,3.026e-05,BNB,FTM,9.0,2.8638,2.8638,26.0
11-15-2021,deposit,eur,200.0,0.0,0,0,0.0,0.0,0.0,0.0
11-16-2021,buy,USDT,39.1394,4.932e-05,BNB,FTM,18.0,2.1188,2.1188,39.1394
11-16-2021,buy,USDT,14.9565,1.92e-05,BNB,INJ,1.3,11.505,11.505,14.9565
11-16-2021,buy,USDT,1.024,1.31e-06,BNB,RUNE,0.1,10.24,10.24,1.024
11-16-2021,buy,USDT,33.8316,4.343e-05,BNB,RUNE,3.3,10.252,10.252,33.8316
11-16-2021,deposit,eur,700.0,0.0,0,0,0.0,0.0,0.0,0.0
11-22-2021,buy,USDT,60.0,0.12,USDT,ADA,32.7672,1.8274,1.8274,60.0
11-22-2021,buy,USDT,70.2,0.14,USDT,BTC,0.001188,58973.0639,58973.0639,70.2
11-22-2021,buy,USDT,109.84,0.21,USDT,BTC,0.001878,58375.9318,58375.9318,109.84
11-22-2021,buy,USDT,135.5445,0.00017643,BNB,DOT,3.31,40.95,40.95,135.5445
11-22-2021,buy,USDT,130.0,0.26,USDT,ETH,0.030469,4258.0983,4258.0983,130.0
11-22-2021,buy,USDT,26.4264,3.439e-05,BNB,FTM,13.0,2.0328,2.0328,26.4264
11-22-2021,buy,USDT,28.0748,3.644e-05,BNB,RUNE,2.6,10.798,10.798,28.0748
11-30-2021,buy,USDC,51.0,0.1,USDC,ADA,31.8681,1.5972,1.5972,51.0
11-30-2021,buy,USDC,100.2,0.2,USDC,BTC,0.001728,57870.3703,57870.3703,100.2
11-30-2021,buy,USDT,12.953,1.566e-05,BNB,INJ,1.0,12.953,12.953,12.953
11-30-2021,buy,USDT,50.8608,6.147e-05,BNB,SOL,0.24,211.92,211.92,50.8608
11-30-2021,deposit,eur,200.0,0.0,0,0,0.0,0.0,0.0,0.0
12-06-2021,buy,USDT,19.7965,2.668e-05,BNB,ATOM,0.85,23.29,23.29,19.7965
12-06-2021,buy,USDT,49.438,6.693e-05,BNB,DOT,1.9,26.02,26.02,49.438
12-06-2021,buy,USDT,28.786,3.881e-05,BNB,FTM,20.0,1.4393,1.4393,28.786
12-06-2021,buy,USDT,13.87,1.877e-05,BNB,MATIC,7.6,1.825,1.825,13.87
12-06-2021,deposit,eur,100.0,0.0,0,0,0.0,0.0,0.0,0.0
12-27-2021,buy,USDT,60.8336,7.997e-05,BNB,ATOM,1.97,30.88,30.88,60.8336
12-27-2021,deposit,eur,200.0,0.0,0,0,0.0,0.0,0.0,0.0
12-27-2021,buy,USDT,61.004,8.013e-05,BNB,YGG,10.1,6.04,6.04,61.004
01-05-2022,buy,USDT,124.23,0.24,USDT,ETH,0.032667,3795.5735,3795.5735,124.23
01-06-2022,dry-in,USDT,100.29,0.0,0,0,0.0,0.0,0.0,0.0
01-07-2022,fix-income-in,USDC,109.2,0.0,0,0,0.0,0.0,0.0,0.0
01-08-2022,buy,USDT,200.0,0.4,USDT,ETH,0.061438,3248.8036,3248.8036,200.0
01-08-2022,buy,USDT,100.0,0.2,USDT,BTC,0.002357,42341.9601,42341.9601,100.0
01-08-2022,buy,USDT,99.3077,0.0001647,BNB,SOL,0.71,139.87,139.87,99.3077
01-08-2022,buy,USDT,100.409,0.00016592,BNB,DOT,3.95,25.42,25.42,100.409
01-08-2022,buy,USDT,50.1525,8.291e-05,BNB,RUNE,7.5,6.687,6.687,50.1525
01-08-2022,buy,USDT,25.016,4.133e-05,BNB,MATIC,11.8,2.12,2.12,25.016
01-08-2022,buy,USDT,38.8731,6.128e-05,BNB,HNT,1.07,36.33,36.33,38.8731
01-08-2022,buy,USDT,8.7168,1.441e-05,BNB,HNT,0.24,36.32,36.32,8.7168
01-08-2022,buy,USDT,40.1508,6.621e-05,BNB,INJ,5.7,7.044,7.044,40.1508
01-12-2022,buy,USDT,180.0,0.36,USDT,ETH,0.054945,3269.4512,3269.4512,180.0
01-12-2022,buy,USDT,130.0,0.26,USDT,BTC,0.003006,43160.3459,43160.3459,130.0
01-12-2022,buy,USDT,59.1612,9.572e-05,BNB,SOL,0.42,140.86,140.86,59.1612
01-12-2022,buy,USDT,19.9104,3.225e-05,BNB,RUNE,3.2,6.222,6.222,19.9104
01-12-2022,buy,USDT,10.292,1.664e-05,BNB,HNT,0.31,33.2,33.2,10.292
01-12-2022,buy,USDT,10.1953,1.651e-05,BNB,MATIC,4.3,2.371,2.371,10.1953
01-12-2022,buy,USDT,10.1794,1.654e-05,BNB,INJ,1.4,7.271,7.271,10.1794
01-12-2022,buy,USDT,10.206,1.657e-05,BNB,AR,0.21,48.6,48.6,10.206
01-12-2022,dry-in,USDT,87.35793288,0.0,0,0,0.0,0.0,0.0,0.0
01-24-2022,deposit,eur,75.0,0.0,0,0,0.0,0.0,0.0,0.0
01-24-2022,dry-out,USDT,187.6,0.0,0,0,0.0,0.0,0.0,0.0
01-24-2022,buy,USDT,140.2,0.28,USDT,ETH,0.056643,2470.2081,2470.2081,140.2
01-24-2022,buy,USDT,49.9875,0.00010074,BNB,MC,23.25,2.15,2.15,49.9875
01-24-2022,buy,USDT,29.4177,0.00005913,BNB,BAT,39,0.7543,0.7543,29.4177
01-24-2022,buy,USDT,50.5332,0.00010169,BNB,SOL,0.54,93.58,93.58,50.5332
01-25-2022,deposit,eur,25.0,0.0,0,0,0.0,0.0,0.0,0.0
01-25-2022,buy,USDT,14.6545,0.00002842,BNB,RUNE,3.5,4.187,4.187,14.6545
01-25-2022,buy,USDT,12.745,0.00002475,BNB,YGG,5,2.549,2.549,12.745
02-08-2022,deposit,eur,200.0,0.0,0,0,0.0,0.0,0.0,0.0
02-08-2022,fix-income-in,USDC,92.68,0.0,0,0,0.0,0.0,0.0,0.0
